IDCompLib,IDCompType,Model,HP,RatedCapacity,RatedPressure,MaxFullFlowPressure,IDControlType,UnloadPoint,MinULSumpPressure,BlowdownTime,UnloadSteps,ModulatingPressRange,PowerFLBHP,TotPackageInputPower,SpecPackagePower,NoLoadPowerFM,NoLoadPowerUL,MaxSurgePressure,MaxPressSurgeFlow,MinStonewallPressure,MinPressStonewallFlow,DesignSurgeFlow,DesignInTemp,DesignInPressure,AmpsFL,EffFL
138,1,30 hp/22 kW,30,118,125,125,3,40,15,40,2,16.66699982,33,27.10000038,22.79999924,57,23,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
139,1,30 hp/22 kW,30,113,125,135,4,100,15,40,2,-9999,31.5,25.79999924,22.79999924,-9999,23,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
141,1,30 hp/22 kW,30,102,140,150,1,50,15,40,2,5,31.5,25.79999924,25.29999924,65,23,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
142,1,30 hp/22 kW,30,107,140,140,2,50,15,40,2,20,33,27.10000038,25.29999924,65,23,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
143,1,30 hp/22 kW,30,107,140,140,3,40,15,40,2,16.66699982,33,27.10000038,25.29999924,57,23,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
144,1,30 hp/22 kW,30,102,140,150,4,100,15,40,2,-9999,31.5,25.79999924,25.29999924,-9999,23,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
146,1,30 hp/22 kW,30,105,150,160,1,50,15,40,2,5,31.5,25.79999924,24.60000038,65,23,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
147,1,30 hp/22 kW,30,110,150,150,2,50,15,40,2,20,33,27.10000038,24.60000038,65,23,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
148,1,30 hp/22 kW,30,110,150,150,3,40,15,40,2,16.66699982,33,27.10000038,24.60000038,57,23,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
149,1,30 hp/22 kW,30,105,150,160,4,100,15,40,2,-9999,31.5,25.79999924,24.60000038,-9999,23,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
151,1,30 hp/22 kW,30,93,175,185,1,50,15,40,2,5,31.5,25.79999924,27.60000038,65,20,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
