ZIP (character),ZIP (numeric),state,eGRID Subregion #1,eGRID Subregion #2,eGRID Subregion #3,,,,,
01440,1440,MA,NEWE,,,,,,,
01441,1441,MA,NEWE,,,,,,,
01450,1450,MA,NEWE,,,,,,,
01450,1450,MA,NEWE,,,,,,,
01451,1451,MA,NEWE,,,,,,,
01451,1451,MA,NEWE,,,,,,,
01452,1452,MA,NEWE,,,,,,,
01452,1452,MA,NEWE,,,,,,,
01453,1453,MA,NEWE,,,,,,,
01453,1453,MA,NEWE,,,,,,,
01460,1460,MA,NEWE,,,,,,,
01460,1460,MA,NEWE,,,,,,,
01462,1462,MA,NEWE,,,,,,,
01463,1463,MA,NEWE,,,,,,,
01463,1463,MA,NEWE,,,,,,,
01464,1464,MA,NEWE,,,,,,,
01464,1464,MA,NEWE,,,,,,,
01467,1467,MA,NEWE,,,,,,,
01468,1468,MA,NEWE,,,,,,,
01468,1468,MA,NEWE,,,,,,,
01469,1469,MA,NEWE,,,,,,,
01469,1469,MA,NEWE,,,,,,,
01470,1470,MA,NEWE,,,,,,,
01470,1470,MA,NEWE,,,,,,,
01471,1471,MA,NEWE,,,,,,,
01471,1471,MA,NEWE,,,,,,,
01472,1472,MA,NEWE,,,,,,,
01472,1472,MA,NEWE,,,,,,,
01473,1473,MA,NEWE,,,,,,,
01473,1473,MA,NEWE,,,,,,,
01474,1474,MA,NEWE,,,,,,,
01475,1475,MA,NEWE,,,,,,,
01475,1475,MA,NEWE,,,,,,,
01477,1477,MA,NEWE,,,,,,,
01501,1501,MA,NEWE,,,,,,,
01503,1503,MA,NEWE,,,,,,,
01503,1503,MA,NEWE,,,,,,,
01504,1504,MA,NEWE,,,,,,,
01505,1505,MA,NEWE,,,,,,,
01505,1505,MA,NEWE,,,,,,,
01506,1506,MA,NEWE,,,,,,,
01507,1507,MA,NEWE,,,,,,,
01508,1508,MA,NEWE,,,,,,,
01509,1509,MA,NEWE,,,,,,,
01510,1510,MA,NEWE,,,,,,,
01510,1510,MA,NEWE,,,,,,,
01515,1515,MA,NEWE,,,,,,,
01516,1516,MA,NEWE,,,,,,,
01517,1517,MA,NEWE,,,,,,,
01517,1517,MA,NEWE,,,,,,,
01518,1518,MA,NEWE,,,,,,,
01519,1519,MA,NEWE,,,,,,,
01520,1520,MA,NEWE,,,,,,,
01520,1520,MA,NEWE,,,,,,,
01521,1521,MA,NEWE,,,,,,,
01522,1522,MA,NEWE,,,,,,,
01522,1522,MA,NEWE,,,,,,,
01523,1523,MA,NEWE,,,,,,,
01523,1523,MA,NEWE,,,,,,,
01524,1524,MA,NEWE,,,,,,,
01524,1524,MA,NEWE,,,,,,,
01525,1525,MA,NEWE,,,,,,,
01526,1526,MA,NEWE,,,,,,,
01527,1527,MA,NEWE,,,,,,,
01529,1529,MA,NEWE,,,,,,,
01531,1531,MA,NEWE,,,,,,,
01532,1532,MA,NEWE,,,,,,,
01532,1532,MA,NEWE,,,,,,,
01534,1534,MA,NEWE,,,,,,,
01535,1535,MA,NEWE,,,,,,,
01536,1536,MA,NEWE,,,,,,,
01536,1536,MA,NEWE,,,,,,,
01537,1537,MA,NEWE,,,,,,,
01538,1538,MA,NEWE,,,,,,,
01540,1540,MA,NEWE,,,,,,,
01541,1541,MA,NEWE,,,,,,,
01541,1541,MA,NEWE,,,,,,,
01542,1542,MA,NEWE,,,,,,,
01543,1543,MA,NEWE,,,,,,,
01543,1543,MA,NEWE,,,,,,,
01545,1545,MA,NEWE,,,,,,,
01545,1545,MA,NEWE,,,,,,,
01546,1546,MA,NEWE,,,,,,,
01546,1546,MA,NEWE,,,,,,,
01550,1550,MA,NEWE,,,,,,,
01560,1560,MA,NEWE,,,,,,,
01561,1561,MA,NEWE,,,,,,,
01562,1562,MA,NEWE,,,,,,,
01562,1562,MA,NEWE,,,,,,,
01564,1564,MA,NEWE,,,,,,,
01564,1564,MA,NEWE,,,,,,,
01566,1566,MA,NEWE,,,,,,,
01568,1568,MA,NEWE,,,,,,,
01569,1569,MA,NEWE,,,,,,,
01570,1570,MA,NEWE,,,,,,,
01571,1571,MA,NEWE,,,,,,,
01580,1580,MA,NEWE,,,,,,,
01581,1581,MA,NEWE,,,,,,,
01581,1581,MA,NEWE,,,,,,,
01582,1582,MA,NEWE,,,,,,,
01583,1583,MA,NEWE,,,,,,,
01583,1583,MA,NEWE,,,,,,,
01585,1585,MA,NEWE,,,,,,,
01586,1586,MA,NEWE,,,,,,,
01588,1588,MA,NEWE,,,,,,,
01590,1590,MA,NEWE,,,,,,,
01601,1601,MA,NEWE,,,,,,,
01602,1602,MA,NEWE,,,,,,,
01602,1602,MA,NEWE,,,,,,,
01603,1603,MA,NEWE,,,,,,,
01604,1604,MA,NEWE,,,,,,,
01604,1604,MA,NEWE,,,,,,,
01605,1605,MA,NEWE,,,,,,,
01605,1605,MA,NEWE,,,,,,,
01606,1606,MA,NEWE,,,,,,,
01606,1606,MA,NEWE,,,,,,,
01607,1607,MA,NEWE,,,,,,,
01608,1608,MA,NEWE,,,,,,,
01609,1609,MA,NEWE,,,,,,,
01609,1609,MA,NEWE,,,,,,,
01610,1610,MA,NEWE,,,,,,,
01611,1611,MA,NEWE,,,,,,,
01612,1612,MA,NEWE,,,,,,,
01612,1612,MA,NEWE,,,,,,,
01613,1613,MA,NEWE,,,,,,,
01614,1614,MA,NEWE,,,,,,,
01615,1615,MA,NEWE,,,,,,,
01653,1653,MA,NEWE,,,,,,,
01654,1654,MA,NEWE,,,,,,,
01655,1655,MA,NEWE,,,,,,,
01701,1701,MA,NEWE,,,,,,,
01702,1702,MA,NEWE,,,,,,,
01703,1703,MA,NEWE,,,,,,,
01704,1704,MA,NEWE,,,,,,,
01705,1705,MA,NEWE,,,,,,,
01718,1718,MA,NEWE,,,,,,,
01719,1719,MA,NEWE,,,,,,,
01719,1719,MA,NEWE,,,,,,,
01720,1720,MA,NEWE,,,,,,,
01720,1720,MA,NEWE,,,,,,,
01721,1721,MA,NEWE,,,,,,,
01730,1730,MA,NEWE,,,,,,,
01730,1730,MA,NEWE,,,,,,,
01731,1731,MA,NEWE,,,,,,,
01740,1740,MA,NEWE,,,,,,,
01740,1740,MA,NEWE,,,,,,,
01741,1741,MA,NEWE,,,,,,,
01741,1741,MA,NEWE,,,,,,,
01742,1742,MA,NEWE,,,,,,,
01742,1742,MA,NEWE,,,,,,,
01745,1745,MA,NEWE,,,,,,,
01746,1746,MA,NEWE,,,,,,,
01747,1747,MA,NEWE,,,,,,,
01748,1748,MA,NEWE,,,,,,,
01749,1749,MA,NEWE,,,,,,,
01749,1749,MA,NEWE,,,,,,,
01752,1752,MA,NEWE,,,,,,,
01752,1752,MA,NEWE,,,,,,,
01754,1754,MA,NEWE,,,,,,,
01754,1754,MA,NEWE,,,,,,,
01756,1756,MA,NEWE,,,,,,,
01757,1757,MA,NEWE,,,,,,,
01760,1760,MA,NEWE,,,,,,,
01760,1760,MA,NEWE,,,,,,,
01770,1770,MA,NEWE,,,,,,,
01772,1772,MA,NEWE,,,,,,,
01773,1773,MA,NEWE,,,,,,,
01773,1773,MA,NEWE,,,,,,,
01775,1775,MA,NEWE,,,,,,,
01775,1775,MA,NEWE,,,,,,,
01776,1776,MA,NEWE,,,,,,,
01776,1776,MA,NEWE,,,,,,,
01778,1778,MA,NEWE,,,,,,,
01784,1784,MA,NEWE,,,,,,,
